artists,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,genres
Stateless,0.354,0.699,0.463,0.00306,0.073,-7.212,0.0432,139.952,0.356,55,6,0,['british alternative rock']
Stathis Kavouras,0.8457,0.36575,0.4718,0.15060389,0.20954,-10.2938,0.040845,102.42205,0.56635,0,2,1,[]
Stathis Koukoularis,0.7805,0.420666667,0.490833333,0.24590235,0.221166667,-9.063166667,0.036666667,121.4653333,0.670666667,0,7,1,"['greek folk', 'nisiotika']"
Stathis Pagioumtzis,0.994,0.643,0.25,0.883,0.112,-14.226,0.0692,140.92,0.653,0,7,1,[]
Stathis Tsitsis,0.975,0.345,0.296,0.577,0.185,-12.793,0.0446,138.091,0.694,0,8,0,[]
Static Major,0.05452,0.8016,0.4288,0.002984,0.132,-10.158,0.10464,146.8504,0.4298,63.6,0,1,['indie r&b']
Static-P,0.64,0.679,0.48,0,0.0315,-8.548,0.0775,155.014,0.837,58,0,1,['otacore']
Static-X,0.00159287,0.5333,0.9644,0.087478921,0.247625,-4.0842,0.085325,136.03885,0.456255,44.85,0,1,"['alternative metal', 'groove metal', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
Statik Selektah,0.114466667,0.593333333,0.834,0.000298333,0.113,-5.552333333,0.266333333,118.6786667,0.572333333,50.33333333,11,0,"['alternative hip hop', 'boom bap', 'boston hip hop', 'hardcore hip hop', 'hip hop', 'southern hip hop', 'underground hip hop']"
Status Quo,0.251175,0.4085,0.679,0.16463995,0.186525,-6.793,0.0344,140.7305,0.66375,41.5,7,1,"['album rock', 'blues rock', 'british blues', 'classic rock', 'glam rock', 'hard rock', 'rock']"
Stauros Keromitis,0.9885,0.694,0.3165,0.273053,0.309,-11.293,0.03475,138.464,0.947,0,2,1,[]
Stauros Tzaounakos,0.9865,0.565,0.483,0.7365,0.177,-13.33,0.05605,83.3815,0.8965,0,3,1,[]
Stauros Tzouanakos,0.992,0.42,0.4205,0.4517,0.1165,-13.5335,0.05025,110.4435,0.6325,0,9,1,[]
Stauros Tzouras,0.994,0.4825,0.363,0.8555,0.121,-13.3395,0.1471,114.646,0.6005,0,10,1,[]
Stavros Tzouanakos,0.985888889,0.493444444,0.338222222,0.441966667,0.262666667,-15.31844444,0.044188889,113.6875556,0.717333333,0,7,1,['rebetiko']
StayLoose,0.0767,0.611,0.562,3.23E-06,0.118,-7.849,0.0874,74.994,0.318,63,1,0,"['electropop', 'pop edm', 'vapor twitch']"
StaySolidRocky,0.749,0.728,0.431,0,0.0996,-9.966,0.0622,130.022,0.629,94,6,0,[]
Steady Mobb'n,0.118,0.788,0.451,0,0.134,-9.313,0.318,89.97,0.302,50,1,1,[]
Steaknife,0.0644,0.764,0.642,0,0.142,-5.234,0.0867,107.84,0.328,57,2,1,[]
Stealers Wheel,0.1144,0.7058,0.5362,0.00130302,0.15576,-9.009,0.03702,118.0624,0.7582,49.4,7,1,"['classic rock', 'folk rock', 'soft rock']"
Steam,0.0155,0.655,0.8795,1.63E-05,0.2575,-8.2555,0.04185,115.3225,0.452,44,7,1,"['comic', 'steampunk']"
Steam Powered Giraffe,0.8035,0.4095,0.4215,5.70E-07,0.243,-9.2855,0.0374,102.525,0.4355,48.5,1,1,"['comic', 'steampunk']"
